n,z,bindingEnergy(keV)
152,96,7496.7291
153,96,7485.551
154,96,7478.9385
155,96,7466.7233
156,96,7460
136,97,7519
137,97,7519
138,97,7524
139,97,7523
140,97,7527
141,97,7525
142,97,7527
143,97,7523
144,97,7524
145,97,7519
146,97,7517.5021
147,97,7511.4759
148,97,7509.2714
149,97,7502.8035
150,97,7498.9408
151,97,7490.5975
152,97,7486.041
153,97,7475.9594
154,97,7469.2637
155,97,7459
156,97,7451
157,97,7440
139,98,7503.3507
140,98,7509
141,98,7507
142,98,7510.24
143,98,7507
144,98,7509.0991
145,98,7505
146,98,7505.1373
147,98,7499.6644
148,98,7499.122
149,98,7493.2638
150,98,7491.044
151,98,7483.3954
152,98,7479.9567
153,98,7470.5014
154,98,7465.3474
155,98,7454.8297
156,98,7449.2259
157,98,7438
158,98,7432
140,99,7481
141,99,7481
142,99,7485
143,99,7483
144,99,7486
145,99,7483
146,99,7485
147,99,7480.7849
148,99,7480.1005
149,99,7476
150,99,7474
151,99,7469
152,99,7465.8842
153,99,7457.2428
154,99,7452.8879
155,99,7443.5759
156,99,7437.8216
157,99,7428
158,99,7422
159,99,7412
141,100,7459
142,100,7465
143,100,7464
144,100,7468
145,100,7465
146,100,7467.9608
147,100,7464
148,100,7465.9451
149,100,7461.8649
150,100,7462.0905
151,100,7457.0013
152,100,7456.0351
153,100,7448.4712
154,100,7444.7936
155,100,7435.886
156,100,7431.7888
157,100,7422.1942
158,100,7418
159,100,7407
160,100,7402
143,101,7438
144,101,7441
145,101,7441
146,101,7444
147,101,7442
148,101,7444.0169
149,101,7441.6533
150,101,7441.9005
151,101,7438.4444
152,101,7438
153,101,7432
154,101,7428.7333
155,101,7421
156,101,7417.5845
157,101,7409.6615
158,101,7405
159,101,7396
160,101,7391
161,101,7382
146,102,7424
147,102,7422
148,102,7426
149,102,7423
150,102,7425.7992
151,102,7422.4719
152,102,7423.5909
153,102,7417.9403
154,102,7416.5429
155,102,7409.6587
156,102,7407
157,102,7399.9714
158,102,7397
159,102,7388
160,102,7385
161,102,7376
162,102,7371
148,103,7400
149,103,7400
150,103,7402.918
151,103,7401.1306
152,103,7402.5767
153,103,7398.1605
154,103,7397
155,103,7392
156,103,7390
157,103,7383
158,103,7381
159,103,7374
160,103,7371
161,103,7363
162,103,7359
163,103,7349
149,104,7380
150,104,7384
151,104,7382
152,104,7385.4349
153,104,7381.7053
154,104,7382.5257
155,104,7377
156,104,7377
157,104,7371.3858
158,104,7370
159,104,7364
160,104,7361
161,104,7354
162,104,7351
163,104,7342
164,104,7337
150,105,7359
151,105,7359
152,105,7361.9767
153,105,7359.4803
154,105,7360.3626
155,105,7357
156,105,7357
157,105,7352
158,105,7352
159,105,7346
160,105,7345
161,105,7339
162,105,7337
163,105,7328
164,105,7323
165,105,7314
152,106,7342
153,106,7340
154,106,7342.5632
155,106,7339.771
156,106,7341.1736
157,106,7337
158,106,7338
159,106,7333
160,106,7332
161,106,7327
162,106,7326
163,106,7318
164,106,7314
165,106,7305
166,106,7301
167,106,7292
153,107,7314
154,107,7317.3313
155,107,7315.7331
156,107,7318
157,107,7315
158,107,7316
159,107,7313
160,107,7313
161,107,7309
162,107,7309
163,107,7301
164,107,7298
165,107,7290
166,107,7286
167,107,7278
168,107,7273
169,107,7265
170,107,7260
171,107,7251
155,108,7295
156,108,7298.3762
157,108,7296.2474
158,108,7298.2611
159,108,7295
160,108,7297
161,108,7294
162,108,7295
163,108,7288
164,108,7286
165,108,7279
166,108,7276
167,108,7268
168,108,7265
169,108,7256
170,108,7252
171,108,7243
172,108,7239
156,109,7272
157,109,7270.7598
158,109,7273
159,109,7271
160,109,7274
161,109,7271
162,109,7273
163,109,7267
164,109,7265
165,109,7259
166,109,7257
167,109,7250
168,109,7247
169,109,7240
170,109,7237
171,109,7229
172,109,7225
173,109,7218
157,110,7248
158,110,7252
159,110,7250.1551
160,110,7253.7634
161,110,7252
162,110,7255
163,110,7250
164,110,7249
165,110,7243
166,110,7243
167,110,7237
168,110,7236
169,110,7229
170,110,7227
171,110,7220
172,110,7217
173,110,7210
174,110,7207
161,111,7227
162,111,7230
163,111,7227
164,111,7227
165,111,7223
166,111,7222
167,111,7218
168,111,7216
169,111,7212
170,111,7209
171,111,7204
172,111,7201
173,111,7195
174,111,7192
175,111,7185
164,112,7209
165,112,7205
166,112,7206
167,112,7202
168,112,7202
169,112,7197
170,112,7197
171,112,7192
172,112,7191
173,112,7185
174,112,7183
175,112,7176
176,112,7174
165,113,7181
166,113,7183
167,113,7180
168,113,7181
169,113,7177
170,113,7177
171,113,7173
172,113,7172
173,113,7168
174,113,7166
175,113,7160
176,113,7158
177,113,7152
170,114,7163
171,114,7159
172,114,7159
173,114,7155
174,114,7154
175,114,7149
176,114,7147
177,114,7141
172,115,7139
173,115,7135
174,115,7135
175,115,7131
176,115,7129
177,115,7124
173,116,7119
174,116,7120
175,116,7116
176,116,7116
177,116,7111
174,117,7098
175,117,7095
176,117,7095
177,117,7092
175,118,7078
176,118,7079
177,118,7076
